point,x,x/c,pb,pt,pt pre,pb pre,pitot,0.0023,-1.03
1,0,0,-0.902,0.545,-0.485,-1.932,,,
2,0.21,0.035,0.531,-1.708,-2.738,-0.499,,,
3,0.526,0.087666667,0.2,-1.33,-2.36,-0.83,,,
4,0.842,0.140333333,0.065,-1.147,-2.177,-0.965,,,
5,1.158,0.193,-0.009,-1.02,-2.05,-1.039,,,
6,1.474,0.245666667,-0.054,-0.93,-1.96,-1.084,,,
7,1.79,0.298333333,-0.074,-0.857,-1.887,-1.104,,,
8,2.106,0.351,-0.084,-0.715,-1.745,-1.114,,,
9,2.422,0.403666667,-0.088,-0.611,-1.641,-1.118,,,
10,2.738,0.456333333,-0.095,-0.567,-1.597,-1.125,,,
11,3.054,0.509,-0.086,-0.515,-1.545,-1.116,,,
12,3.37,0.561666667,-0.079,-0.456,-1.486,-1.109,,,
13,3.686,0.614333333,-0.069,-0.415,-1.445,-1.099,,,
14,4.002,0.667,-0.059,-0.357,-1.387,-1.089,,,
15,4.318,0.719666667,-0.049,-0.317,-1.347,-1.079,,,
16,4.634,0.772333333,-0.036,-0.269,-1.299,-1.066,,,
17,4.95,0.825,-0.014,-0.219,-1.249,-1.044,,,
18,5.265,0.8775,0.011,-0.152,-1.182,-1.019,,,
