# alpha, cl, cm
-3.926990816987241395e-01 -2.334481528100718073e+00 -1.345228641736984365e-01
-3.054326190990076517e-01 -1.713528513384976026e+00 -1.098629134905312610e-01
-2.181661564992911917e-01 -1.079179963391744268e+00 -9.703258297686602474e-02
-1.308996938995747317e-01 -4.362008786581882958e-01 -9.320695486553808029e-02
-4.363323129985824389e-02 2.105496167847322186e-01 -9.482859862292505881e-02
4.363323129985824389e-02 8.561529164035827089e-01 -9.787906231757792508e-02
1.308996938995746762e-01 1.495668122443310821e+00 -9.818246525849495809e-02
2.181661564992911639e-01 2.124171520960891346e+00 -9.172027621355277605e-02
3.054326190990076517e-01 2.736797912621555362e+00 -7.493559576121122667e-02
3.926990816987241395e-01 3.328783221764458844e+00 -4.500597487517025985e-02
