# panels, cl, cmac, cd
2.000000000000000000e+00 -4.440900568830098705e-16 6.309543818650438960e-06 3.180030279007980567e-08
1.200000000000000000e+01 3.866249062996988117e-01 4.585906668831258443e-03 -1.310707996844527080e-02
2.200000000000000000e+01 4.517827384164047611e-01 -4.394917809252101015e-02 -9.438073199817726550e-03
3.200000000000000000e+01 4.831487062185318981e-01 -6.470115322844167960e-02 -5.946735247759599163e-03
4.200000000000000000e+01 5.052291206604538898e-01 -7.676577341179334490e-02 -4.382659719469008362e-03
5.200000000000000000e+01 5.182526768205086842e-01 -8.405733652454450144e-02 -3.521853468132882855e-03
6.200000000000000000e+01 5.253583993461097279e-01 -8.861971837085379222e-02 -2.976409646474203769e-03
7.200000000000000000e+01 5.293007343283377963e-01 -9.165753432057902050e-02 -2.601876867098987158e-03
8.200000000000000000e+01 5.316104085820561043e-01 -9.381158804146158547e-02 -2.330079255424034879e-03
9.200000000000000000e+01 5.330400306304196034e-01 -9.541821609011447158e-02 -2.124465468888044137e-03
1.020000000000000000e+02 5.339581659288097359e-01 -9.666215629683126698e-02 -1.963833100340715669e-03
1.120000000000000000e+02 5.345583910905857827e-01 -9.765257272361205221e-02 -1.835074311039212955e-03
1.220000000000000000e+02 5.349498557396652476e-01 -9.845827352401426147e-02 -1.729670031443517487e-03
1.320000000000000000e+02 5.351980886873968224e-01 -9.912496949579401029e-02 -1.641859989820507095e-03
1.420000000000000000e+02 5.353446111357637038e-01 -9.968432732210344427e-02 -1.567617920626461665e-03
1.520000000000000000e+02 5.354167172803467878e-01 -1.001590009563925882e-01 -1.504051194592625389e-03
1.620000000000000000e+02 5.354329560207489180e-01 -1.005656484716629939e-01 -1.449034084439159743e-03
1.720000000000000000e+02 5.354068964451735857e-01 -1.009168982153874350e-01 -1.400964549438910803e-03
1.820000000000000000e+02 5.353483767747854172e-01 -1.012224492875561793e-01 -1.358613859988068657e-03
1.920000000000000000e+02 5.352646760139816440e-01 -1.014898774398061837e-01 -1.321024690466348012e-03
2.020000000000000000e+02 5.351612808835640722e-01 -1.017251884422275127e-01 -1.287440599439020278e-03
2.120000000000000000e+02 5.350422447792544389e-01 -1.019331819376748799e-01 -1.257257778695136056e-03
2.220000000000000000e+02 5.349108263938683328e-01 -1.021177780674608349e-01 -1.229988244223422737e-03
2.320000000000000000e+02 5.347696738124686489e-01 -1.022822082609148725e-01 -1.205231946352708621e-03
2.420000000000000000e+02 5.346208821664589772e-01 -1.024291470676495647e-01 -1.182658154141343412e-03
2.520000000000000000e+02 5.344661247129685044e-01 -1.025608270283849960e-01 -1.161991200717692923e-03
2.620000000000000000e+02 5.343067263876222217e-01 -1.026791224610818370e-01 -1.142999722957710853e-03
2.720000000000000000e+02 5.341436990852501676e-01 -1.027856114905579960e-01 -1.125489040068197591e-03
2.820000000000000000e+02 5.339779588954545186e-01 -1.028816552763589659e-01 -1.109293342143837478e-03
2.920000000000000000e+02 5.338102641349197208e-01 -1.029684217834717364e-01 -1.094270307095570813e-03
3.020000000000000000e+02 5.336412362664723075e-01 -1.030469171322132838e-01 -1.080297167455707532e-03
3.120000000000000000e+02 5.334713865406434108e-01 -1.031180124933137876e-01 -1.067267508370493704e-03
3.220000000000000000e+02 5.333011004772715280e-01 -1.031824598470008209e-01 -1.055088943020651183e-03
3.320000000000000000e+02 5.331307054206662066e-01 -1.032409183579411777e-01 -1.043681117408718677e-03
3.420000000000000000e+02 5.329605071656448034e-01 -1.032939722880769490e-01 -1.032973292302956109e-03
3.520000000000000000e+02 5.327907581007141902e-01 -1.033421358107501214e-01 -1.022902964382726683e-03
3.620000000000000000e+02 5.326216665638197068e-01 -1.033858631007003176e-01 -1.013414726585619170e-03
3.720000000000000000e+02 5.324533999308628252e-01 -1.034255559921399420e-01 -1.004459330116575433e-03
3.820000000000000000e+02 5.322860688893810144e-01 -1.034615675023697057e-01 -9.959931583078071061e-04
3.920000000000000000e+02 5.321197920534608272e-01 -1.034942176260985197e-01 -9.879772951363649091e-04
4.020000000000000000e+02 5.319546727008247489e-01 -1.035237935811029047e-01 -9.803767301498997767e-04
4.120000000000000000e+02 5.317907945158735217e-01 -1.035505527984669771e-01 -9.731599009093847702e-04
4.220000000000000000e+02 5.316282247473783640e-01 -1.035747266250158921e-01 -9.662982911141405895e-04
4.320000000000000000e+02 5.314670056700411260e-01 -1.035965216511002956e-01 -9.597661519122256636e-04
4.420000000000000000e+02 5.313071646136985349e-01 -1.036161238287711811e-01 -9.535403442481368407e-04
4.520000000000000000e+02 5.311487389826525796e-01 -1.036337045584036914e-01 -9.475998050582773446e-04
4.620000000000000000e+02 5.309917571204881837e-01 -1.036494192259387465e-01 -9.419252932377427138e-04
4.720000000000000000e+02 5.308362394902805814e-01 -1.036634089564757166e-01 -9.364992056379358581e-04
4.820000000000000000e+02 5.306821989593102362e-01 -1.036758020221218018e-01 -9.313054167557121904e-04
4.920000000000000000e+02 5.305296297332715572e-01 -1.036867132301377559e-01 -9.263292470071911094e-04
5.020000000000000000e+02 5.303785335994108951e-01 -1.036962493579757921e-01 -9.215572988619502018e-04
5.120000000000000000e+02 5.302289133795486942e-01 -1.037045089037529344e-01 -9.169772051103678443e-04
5.220000000000000000e+02 5.300807679768282377e-01 -1.037115820749525685e-01 -9.125775355313827221e-04
5.320000000000000000e+02 5.299340929969409419e-01 -1.037175516207189813e-01 -9.083477147011634811e-04
5.420000000000000000e+02 5.297888773112870986e-01 -1.037224929104732241e-01 -9.042779684862024651e-04
