# x, Cp
9.995066821070679453e-01 6.564493267743453098e-01
9.975353574356873310e-01 5.671356892774264136e-01
9.936004880107917048e-01 4.963876249938170560e-01
9.877176029643299771e-01 4.373115278720610677e-01
9.799099193559461796e-01 3.885653452017449050e-01
9.702082505458512474e-01 3.474815477952545306e-01
9.586508845885677310e-01 3.119505257432209078e-01
9.452834331274707624e-01 2.805478176171390947e-01
9.301586513864696926e-01 2.523060687873081021e-01
9.133362299692406872e-01 2.265370550565336538e-01
8.948825592876841206e-01 2.027203701507130917e-01
8.748704675493002014e-01 1.804372691289352071e-01
8.533789333375250141e-01 1.593318197043793738e-01
8.304927739193446179e-01 1.390883530261622925e-01
8.063023105102906651e-01 1.194188789471641865e-01
7.809030118178674762e-01 1.000568347948853631e-01
7.543951172701779395e-01 8.075505377608627189e-02
7.268832414166970235e-01 6.128671861581436175e-02
6.984759610624375892e-01 4.144862454596875967e-02
6.692853867649063426e-01 2.106649515212721813e-02
6.394267203849505199e-01 2.499337125927425518e-06
6.090178004376447518e-01 -2.183436042049780035e-02
5.781786370375072703e-01 -4.447344538407493886e-02
5.470309382734044323e-01 -6.785991470298857742e-02
5.156976298823282567e-01 -9.181651398560175537e-02
4.843023701176716322e-01 -1.159677162250474236e-01
4.529690617265955677e-01 -1.395445643005293057e-01
4.218213629624927297e-01 -1.605070066993576905e-01
3.909821995623550817e-01 -1.781751898054779737e-01
3.605732796150493691e-01 -1.988127432687163409e-01
3.307146132350936574e-01 -2.262234963252447439e-01
3.015240389375622998e-01 -2.575720229638780445e-01
2.731167585833029765e-01 -2.915867125593643028e-01
2.456048827298219495e-01 -3.273363122915344814e-01
2.190969881821325516e-01 -3.638833671611723108e-01
1.936976894897093349e-01 -4.001291339972650185e-01
1.695072260806554099e-01 -4.346803656894724366e-01
1.466210666624749026e-01 -4.656862098638625547e-01
1.251295324506997153e-01 -4.906081359358713812e-01
1.051174407123157961e-01 -5.058829594480005465e-01
8.666377003075939611e-02 -5.064379025568674919e-01
6.984134861353030743e-02 -4.850440285918911076e-01
5.471656687252918205e-02 -4.316197769230543102e-01
4.134911541143224123e-02 -3.329841496926002620e-01
2.979174945414872488e-02 -1.744858005012159818e-01
2.009008064405382044e-02 5.359921784498866693e-02
1.228239703567005070e-02 3.420415985994571528e-01
6.399511989208350737e-03 6.460252352544333387e-01
2.464642564312641282e-03 8.879262149357811662e-01
4.933178929321102579e-04 9.969685750814452074e-01
4.933178929321102579e-04 9.531592746274653027e-01
2.464642564312641282e-03 7.829530911583282293e-01
6.399511989208350737e-03 5.371593800650276140e-01
1.228239703567005070e-02 2.655416341741040354e-01
2.009008064405382044e-02 9.032820637909777517e-04
2.979174945414872488e-02 -2.409451838924860922e-01
4.134911541143224123e-02 -4.549868959708547322e-01
5.471656687252918205e-02 -6.413349667307133295e-01
6.984134861353030743e-02 -8.018616786346883796e-01
8.666377003075939611e-02 -9.386300297017844407e-01
1.051174407123157961e-01 -1.053339563290036640e+00
1.251295324506997153e-01 -1.147249431935849717e+00
1.466210666624749026e-01 -1.221289496962907339e+00
1.695072260806554099e-01 -1.276219326920743136e+00
1.936976894897093349e-01 -1.312770951130670660e+00
2.190969881821325516e-01 -1.331747616345068774e+00
2.456048827298219495e-01 -1.334067753648994881e+00
2.731167585833029765e-01 -1.320749395637776491e+00
3.015240389375622998e-01 -1.292824304812846048e+00
3.307146132350936574e-01 -1.251131925944504619e+00
3.605732796150493691e-01 -1.195710882269215514e+00
3.909821995623550817e-01 -1.123482586072831246e+00
4.218213629624927297e-01 -1.044794448111833862e+00
4.529690617265955677e-01 -9.721538514262351161e-01
4.843023701176716322e-01 -9.047222690898832909e-01
5.156976298823282567e-01 -8.398145662033695835e-01
5.470309382734044323e-01 -7.766764187781678430e-01
5.781786370375072703e-01 -7.150044974933429387e-01
6.090178004376447518e-01 -6.546337046482673117e-01
6.394267203849505199e-01 -5.954356562654876672e-01
6.692853867649063426e-01 -5.372821291970708568e-01
6.984759610624375892e-01 -4.800335876689640902e-01
7.268832414166970235e-01 -4.235384117446001628e-01
7.543951172701779395e-01 -3.676366158944603946e-01
7.809030118178674762e-01 -3.121649848994467735e-01
8.063023105102906651e-01 -2.569619287771311988e-01
8.304927739193446179e-01 -2.018710216196732965e-01
8.533789333375250141e-01 -1.467425337514804973e-01
8.748704675493002014e-01 -9.143245254829257540e-02
8.948825592876841206e-01 -3.579857600514979588e-02
9.133362299692406872e-01 2.030674700881052175e-02
9.301586513864696926e-01 7.704786520586204279e-02
9.452834331274707624e-01 1.346225204930406871e-01
9.586508845885677310e-01 1.932885431361610618e-01
9.702082505458512474e-01 2.534173428319536070e-01
9.799099193559461796e-01 3.156414830215384937e-01
9.877176029643299771e-01 3.813655247585809871e-01
9.936004880107917048e-01 4.544642036273029984e-01
9.975353574356873310e-01 5.436432201016783150e-01
9.995066821070679453e-01 6.564493267743458649e-01
