# alpha, cl, cm
-3.926990816987241395e-01 -2.011811300107754885e+00 -1.062390272989621604e-01
-3.847657669169317063e-01 -1.961964813233566085e+00 -1.062390272989621604e-01
-3.768324521351393286e-01 -1.912118326359377507e+00 -1.062390272989621604e-01
-3.688991373533468954e-01 -1.862271839485188707e+00 -1.062390272989621604e-01
-3.609658225715545177e-01 -1.812425352611000129e+00 -1.062390272989621604e-01
-3.530325077897620845e-01 -1.762578865736811329e+00 -1.062390272989621604e-01
-3.450991930079697068e-01 -1.712732378862622751e+00 -1.062390272989621604e-01
-3.371658782261772735e-01 -1.662885891988433951e+00 -1.062390272989621604e-01
-3.292325634443848958e-01 -1.613039405114245595e+00 -1.062390272989621604e-01
-3.212992486625924626e-01 -1.563192918240056573e+00 -1.062390272989621604e-01
-3.133659338808000849e-01 -1.513346431365868217e+00 -1.062390272989621604e-01
-3.054326190990076517e-01 -1.463499944491679416e+00 -1.062390272989621604e-01
-2.974993043172152740e-01 -1.413653457617490838e+00 -1.062390272989621604e-01
-2.895659895354228408e-01 -1.363806970743302038e+00 -1.062390272989621604e-01
-2.816326747536304076e-01 -1.313960483869113238e+00 -1.062390272989621604e-01
-2.736993599718380299e-01 -1.264113996994924660e+00 -1.062390272989621604e-01
-2.657660451900456522e-01 -1.214267510120736082e+00 -1.062390272989621604e-01
-2.578327304082532190e-01 -1.164421023246547282e+00 -1.062390272989621604e-01
-2.498994156264608135e-01 -1.114574536372358926e+00 -1.062390272989621604e-01
-2.419661008446684081e-01 -1.064728049498169904e+00 -1.062390272989621604e-01
-2.340327860628760026e-01 -1.014881562623981548e+00 -1.062390272989621604e-01
-2.260994712810835972e-01 -9.650350757497926368e-01 -1.062390272989621604e-01
-2.181661564992911917e-01 -9.151885888756041698e-01 -1.062390272989621604e-01
-2.102328417174987862e-01 -8.653421020014153697e-01 -1.062390272989621604e-01
-2.022995269357063530e-01 -8.154956151272264586e-01 -1.062390272989621604e-01
-1.943662121539139476e-01 -7.656491282530378806e-01 -1.062390272989621604e-01
-1.864328973721215421e-01 -7.158026413788491915e-01 -1.062390272989621604e-01
-1.784995825903291367e-01 -6.659561545046606135e-01 -1.062390272989621604e-01
-1.705662678085367312e-01 -6.161096676304719244e-01 -1.062390272989621604e-01
-1.626329530267443257e-01 -5.662631807562832353e-01 -1.062390272989621604e-01
-1.546996382449519203e-01 -5.164166938820945463e-01 -1.062390272989621604e-01
-1.467663234631595148e-01 -4.665702070079059127e-01 -1.062390272989621604e-01
-1.388330086813671094e-01 -4.167237201337172237e-01 -1.062390272989621604e-01
-1.308996938995746762e-01 -3.668772332595284236e-01 -1.062390272989621604e-01
-1.229663791177822985e-01 -3.170307463853399010e-01 -1.062390272989621604e-01
-1.150330643359898652e-01 -2.671842595111510454e-01 -1.062390272989621604e-01
-1.070997495541974875e-01 -2.173377726369625784e-01 -1.062390272989621604e-01
-9.916643477240505433e-02 -1.674912857627737228e-01 -1.062390272989621604e-01
-9.123311999061267663e-02 -1.176447988885852280e-01 -1.062390272989621604e-01
-8.329980520882024342e-02 -6.779831201439638633e-02 -1.062390272989621604e-01
-7.536649042702786572e-02 -1.795182514020789849e-02 -1.062390272989621604e-01
-6.743317564523543250e-02 3.189466173398094323e-02 -1.062390272989621604e-01
-5.949986086344305480e-02 8.174114860816943107e-02 -1.062390272989621604e-01
-5.156654608165062159e-02 1.315876354823583283e-01 -1.062390272989621604e-01
-4.363323129985824389e-02 1.814341223565468231e-01 -1.062390272989621604e-01
-3.569991651806581068e-02 2.312806092307356509e-01 -1.062390272989621604e-01
-2.776660173627343298e-02 2.811270961049241457e-01 -1.062390272989621604e-01
-1.983328695448099976e-02 3.309735829791130013e-01 -1.062390272989621604e-01
-1.189997217268856655e-02 3.808200698533018569e-01 -1.062390272989621604e-01
-3.966657390896188851e-03 4.306665567274902684e-01 -1.062390272989621604e-01
3.966657390896244362e-03 4.805130436016791240e-01 -1.062390272989621604e-01
1.189997217268862206e-02 5.303595304758675910e-01 -1.062390272989621604e-01
1.983328695448105528e-02 5.802060173500565021e-01 -1.062390272989621604e-01
2.776660173627343298e-02 6.300525042242450802e-01 -1.062390272989621604e-01
3.569991651806586619e-02 6.798989910984338803e-01 -1.062390272989621604e-01
4.363323129985824389e-02 7.297454779726223473e-01 -1.062390272989621604e-01
5.156654608165067710e-02 7.795919648468112584e-01 -1.062390272989621604e-01
5.949986086344305480e-02 8.294384517209997254e-01 -1.062390272989621604e-01
6.743317564523548802e-02 8.792849385951885255e-01 -1.062390272989621604e-01
7.536649042702786572e-02 9.291314254693769925e-01 -1.062390272989621604e-01
8.329980520882029893e-02 9.789779123435659036e-01 -1.062390272989621604e-01
9.123311999061267663e-02 1.028824399217754371e+00 -1.062390272989621604e-01
9.916643477240510984e-02 1.078670886091943171e+00 -1.062390272989621604e-01
1.070997495541974875e-01 1.128517372966131749e+00 -1.062390272989621604e-01
1.150330643359899208e-01 1.178363859840320549e+00 -1.062390272989621604e-01
1.229663791177822985e-01 1.228210346714509127e+00 -1.062390272989621604e-01
1.308996938995747872e-01 1.278056833588698149e+00 -1.062390272989621604e-01
1.388330086813671649e-01 1.327903320462886727e+00 -1.062390272989621604e-01
1.467663234631595426e-01 1.377749807337075305e+00 -1.062390272989621604e-01
1.546996382449519203e-01 1.427596294211263661e+00 -1.062390272989621604e-01
1.626329530267444090e-01 1.477442781085452905e+00 -1.062390272989621604e-01
1.705662678085367867e-01 1.527289267959641483e+00 -1.062390272989621604e-01
1.784995825903291644e-01 1.577135754833829839e+00 -1.062390272989621604e-01
1.864328973721215421e-01 1.626982241708018417e+00 -1.062390272989621604e-01
1.943662121539140308e-01 1.676828728582207662e+00 -1.062390272989621604e-01
2.022995269357064085e-01 1.726675215456396018e+00 -1.062390272989621604e-01
2.102328417174987862e-01 1.776521702330584596e+00 -1.062390272989621604e-01
2.181661564992911639e-01 1.826368189204772952e+00 -1.062390272989621604e-01
2.260994712810836527e-01 1.876214676078962196e+00 -1.062390272989621604e-01
2.340327860628760304e-01 1.926061162953150774e+00 -1.062390272989621604e-01
2.419661008446684081e-01 1.975907649827339130e+00 -1.062390272989621604e-01
2.498994156264608968e-01 2.025754136701528374e+00 -1.062390272989621604e-01
2.578327304082532745e-01 2.075600623575716952e+00 -1.062390272989621604e-01
2.657660451900456522e-01 2.125447110449905530e+00 -1.062390272989621604e-01
2.736993599718380299e-01 2.175293597324094108e+00 -1.062390272989621604e-01
2.816326747536305186e-01 2.225140084198283130e+00 -1.062390272989621604e-01
2.895659895354228963e-01 2.274986571072471708e+00 -1.062390272989621604e-01
2.974993043172152740e-01 2.324833057946660286e+00 -1.062390272989621604e-01
3.054326190990076517e-01 2.374679544820848420e+00 -1.062390272989621604e-01
3.133659338808001404e-01 2.424526031695037886e+00 -1.062390272989621604e-01
3.212992486625925181e-01 2.474372518569226465e+00 -1.062390272989621604e-01
3.292325634443848958e-01 2.524219005443414598e+00 -1.062390272989621604e-01
3.371658782261772735e-01 2.574065492317603177e+00 -1.062390272989621604e-01
3.450991930079697623e-01 2.623911979191792199e+00 -1.062390272989621604e-01
3.530325077897621400e-01 2.673758466065980777e+00 -1.062390272989621604e-01
3.609658225715545177e-01 2.723604952940169355e+00 -1.062390272989621604e-01
3.688991373533470064e-01 2.773451439814358377e+00 -1.062390272989621604e-01
3.768324521351393841e-01 2.823297926688546955e+00 -1.062390272989621604e-01
3.847657669169317618e-01 2.873144413562735533e+00 -1.062390272989621604e-01
3.926990816987241395e-01 2.922990900436924111e+00 -1.062390272989621604e-01
