# x, cp_bottom, cp_top
9.999999999999999547e-07 nan nan
1.010199999999999813e-02 3.043619149295748727e+00 -6.390142287489708472e+00
2.020299999999999874e-02 1.310449818597711147e+00 -4.050187003595236312e+00
3.030399999999999761e-02 7.285211802412516757e-01 -3.150423516014422276e+00
4.040499999999999647e-02 4.417645091539730284e-01 -2.663085357383429219e+00
5.050599999999999534e-02 2.725351731415741607e-01 -2.353630483286344166e+00
6.060699999999999421e-02 1.611134640728706380e-01 -2.138454259273411040e+00
7.070799999999999308e-02 8.230694698211737936e-02 -1.979524590979243825e+00
8.080899999999999195e-02 2.371915114794709289e-02 -1.856538166734152728e+00
9.090999999999999082e-02 -2.169366220584389993e-02 -1.758401262394843734e+00
1.010109999999999897e-01 -5.801564281203752671e-02 -1.678210753823604851e+00
1.111119999999999886e-01 -8.763190227143058397e-02 -1.611002948788331945e+00
1.212129999999999874e-01 -1.122316149545318220e-01 -1.553566865270717745e+00
1.313139999999999863e-01 -1.331171125712934389e-01 -1.503980334370232264e+00
1.414149999999999852e-01 -1.511056192912715312e-01 -1.460686893694824295e+00
1.515159999999999840e-01 -1.666459108378465226e-01 -1.422216637445282483e+00
1.616169999999999829e-01 -1.801316833208382873e-01 -1.387530334461721360e+00
1.717179999999999818e-01 -1.920100094260325241e-01 -1.356115108338610487e+00
1.818189999999999806e-01 -2.026253885767773655e-01 -1.327596431462110704e+00
1.919199999999999795e-01 -2.121083113968176281e-01 -1.301420886826060386e+00
2.020209999999999784e-01 -2.202824410050154835e-01 -1.276952592147861054e+00
2.121219999999999772e-01 -2.278901790617814394e-01 -1.253966030405671894e+00
2.222229999999999761e-01 -2.345175415025699817e-01 -1.232305430570803662e+00
2.323239999999999750e-01 -2.405588211992715220e-01 -1.211975541998911332e+00
2.424249999999999738e-01 -2.460198213738963302e-01 -1.192720927494945737e+00
2.525259999999999727e-01 -2.507357623579242745e-01 -1.174166883620072266e+00
2.626269999999999438e-01 -2.548859135517351771e-01 -1.156053812696096195e+00
2.727279999999999149e-01 -2.584934013758460880e-01 -1.138423736235369077e+00
2.828289999999999416e-01 -2.617894137579908076e-01 -1.121387087990678655e+00
2.929299999999999682e-01 -2.646879953391069185e-01 -1.104982089237266152e+00
3.030309999999999393e-01 -2.671523250316283349e-01 -1.088884198235613887e+00
3.131319999999999104e-01 -2.690327273501218475e-01 -1.072737458252978282e+00
3.232329999999999370e-01 -2.702850346809730908e-01 -1.056479313329720782e+00
3.333339999999999637e-01 -2.711566443682016381e-01 -1.040129134306317926e+00
3.434349999999999348e-01 -2.717498342786257570e-01 -1.024129441575508448e+00
3.535359999999999059e-01 -2.720905018445143320e-01 -1.008377614527242283e+00
3.636369999999999325e-01 -2.718865653407949168e-01 -9.923544242762056822e-01
3.737379999999999591e-01 -2.706981552394949198e-01 -9.752855173558920843e-01
3.838389999999999302e-01 -2.682369828614177276e-01 -9.566437113195334074e-01
3.939399999999999014e-01 -2.646189385466074517e-01 -9.365739284428551414e-01
4.040409999999999280e-01 -2.603588587217139372e-01 -9.160970429522024006e-01
4.141419999999999546e-01 -2.561433161808540637e-01 -8.963174503128159554e-01
4.242429999999999257e-01 -2.525798566173644844e-01 -8.780505362413839610e-01
4.343439999999998968e-01 -2.498834956275256536e-01 -8.617423626492504152e-01
4.444449999999999235e-01 -2.478641617195056490e-01 -8.470438351339317773e-01
4.545459999999999501e-01 -2.460909707407712421e-01 -8.331514973553004744e-01
4.646469999999999212e-01 -2.442693346387726505e-01 -8.196146881411072727e-01
4.747479999999998923e-01 -2.420969306806649568e-01 -8.065797911753180838e-01
4.848489999999999189e-01 -2.400878460276408832e-01 -7.935142756313298129e-01
4.949499999999999456e-01 -2.381645682501315475e-01 -7.809388747971084399e-01
5.050510000000000277e-01 -2.365690978765686570e-01 -7.686065438788183268e-01
5.151519999999999433e-01 -2.348316995121902950e-01 -7.569977739920989990e-01
5.252529999999999699e-01 -2.330290407757703575e-01 -7.456001827664389126e-01
5.353539999999999965e-01 -2.310928349028682494e-01 -7.342972939447618419e-01
5.454549999999999121e-01 -2.290455964451486581e-01 -7.231109931336812124e-01
5.555559999999999388e-01 -2.269632831587530264e-01 -7.121446162526448020e-01
5.656569999999999654e-01 -2.248483474516869141e-01 -7.013836018207402212e-01
5.757579999999999920e-01 -2.227837975487221289e-01 -6.909606218485369045e-01
5.858590000000000186e-01 -2.206475968144548938e-01 -6.806751070460244080e-01
5.959599999999999342e-01 -2.183831041203879719e-01 -6.704367141174700784e-01
6.060609999999999609e-01 -2.159871279048339865e-01 -6.602345168153396227e-01
6.161619999999999875e-01 -2.135056861518657145e-01 -6.501298328738565058e-01
6.262629999999999031e-01 -2.108196259909020931e-01 -6.404100638874929974e-01
6.363639999999999297e-01 -2.082648491054254203e-01 -6.306170476650334589e-01
6.464649999999999563e-01 -2.056180691388035386e-01 -6.208959418850481526e-01
6.565659999999999830e-01 -2.028927428300287827e-01 -6.112662605584786579e-01
6.666670000000000096e-01 -1.999113478114470377e-01 -6.014602585797201861e-01
6.767679999999999252e-01 -1.969178796501943607e-01 -5.918370414146358893e-01
6.868689999999999518e-01 -1.937959527657399095e-01 -5.822170662996879464e-01
6.969699999999999784e-01 -1.905959488395785328e-01 -5.726724591718330704e-01
7.070709999999998940e-01 -1.872257526490732626e-01 -5.630677367229453001e-01
7.171719999999999207e-01 -1.837975262164803780e-01 -5.535724105691728347e-01
7.272729999999999473e-01 -1.801471707435029490e-01 -5.439427898503432779e-01
7.373739999999999739e-01 -1.763550405171745439e-01 -5.342942828519305909e-01
7.474750000000000005e-01 -1.724469334130689369e-01 -5.246613766887371355e-01
7.575759999999999161e-01 -1.684094598612368987e-01 -5.150257030270368741e-01
7.676769999999999428e-01 -1.641961768548600986e-01 -5.053252067049869289e-01
7.777779999999999694e-01 -1.597717113403335221e-01 -4.955136113799172293e-01
7.878789999999998850e-01 -1.551439118244856141e-01 -4.856030288383421656e-01
7.979799999999999116e-01 -1.503386391715554327e-01 -4.756291094818714260e-01
8.080809999999999382e-01 -1.453550861190309185e-01 -4.655937395286979807e-01
8.181819999999999649e-01 -1.401466574035483692e-01 -4.554400140012573317e-01
8.282829999999999915e-01 -1.346628218535759203e-01 -4.451065254431629814e-01
8.383839999999999071e-01 -1.288978837288693446e-01 -4.345906707025286586e-01
8.484849999999999337e-01 -1.228248165544574277e-01 -4.238450918319178751e-01
8.585859999999999603e-01 -1.165179818185181349e-01 -4.130095077268161052e-01
8.686869999999998759e-01 -1.098590406480509651e-01 -4.019270892055848421e-01
8.787879999999999026e-01 -1.027889479126277150e-01 -3.905352890387348008e-01
8.888889999999999292e-01 -9.534281432627922381e-02 -3.789146223925667911e-01
8.989899999999999558e-01 -8.737142499204209045e-02 -3.668243088985465583e-01
9.090909999999999824e-01 -7.893325843555865085e-02 -3.544677292176805494e-01
9.191919999999998980e-01 -6.978261041717803703e-02 -3.414935373836804899e-01
9.292929999999999247e-01 -5.989783266616355295e-02 -3.279413414653253867e-01
9.393939999999999513e-01 -4.913277376454971979e-02 -3.136952836434372394e-01
9.494949999999998669e-01 -3.718716037832203725e-02 -2.984895991447302777e-01
9.595959999999998935e-01 -2.374867725446194733e-02 -2.820791778325961729e-01
9.696969999999999201e-01 -8.240744465233929006e-03 -2.640269827144066106e-01
9.797979999999999468e-01 1.058090049667548271e-02 -2.433699827605027011e-01
9.898989999999999734e-01 3.567194716290567058e-02 -2.180290294208988566e-01
1.000000000000000000e+00 nan nan
